Land,Kreis,land_kreis,SUM of insgesamt,SUM of männlich,SUM of weiblich
01,01,0101,89934,44797,45137
01,02,0102,246601,120045,126556
01,03,0103,215846,103623,112223
01,04,0104,79905,39558,40347
01,51,0151,133251,65711,67540
01,53,0153,199152,97730,101422
01,54,0154,167147,81789,85358
01,55,0155,201487,97171,104316
01,56,0156,317085,155554,161531
01,57,0157,129353,62674,66679
01,58,0158,274765,135219,139546
01,59,0159,202647,100209,102438
01,60,0160,278007,137269,140738
01,61,0161,130706,64570,66136
01,62,0162,244989,119730,125259
02,00,0200,1852478,906933,945545
03,01,0301,326064,161501,164563
03,02,0302,153740,76475,77265
03,03,0303,293445,143016,150429
03,04,0304,164223,79475,84748
03,05,0305,75189,36914,38275
03,41,0341,1155330,565498,589832
03,51,0351,700328,346516,353812
03,52,0352,537584,262519,275065
03,53,0353,563336,280229,283107
03,54,0354,744415,370643,373772
03,55,0355,485185,237946,247239
03,56,0356,374176,185580,188596
03,57,0357,630219,313000,317219
03,58,0358,391713,194736,196977
03,59,0359,888728,439568,449160
03,60,0360,236264,117803,118461
03,61,0361,226098,111913,114185
03,62,0362,57384,28124,29260
04,11,0411,566573,279841,286732
04,12,0412,113557,56549,57008
05,11,0511,1318486,638606,679880
05,12,0512,613273,302366,310907
05,13,0513,1429216,701065,728151
05,14,0514,746110,361129,384981
05,15,0515,1578868,768185,810683
05,16,0516,580510,284808,295702
05,17,0517,170921,82409,88512
05,19,0519,209566,102819,106747
05,20,0520,111516,55161,56355
05,22,0522,159193,77284,81909
05,24,0524,355004,174191,180813
05,34,0534,556631,281103,275528
05,54,0554,1373432,680796,692636
05,58,0558,1479751,726831,752920
05,62,0562,2083602,1018387,1065215
05,66,0566,1421424,701508,719916
05,70,0570,1579749,777768,801981
05,74,0574,881050,437408,443642
05,78,0578,676893,329006,347887
05,82,0582,600375,294058,306317
06,11,0611,360222,179945,180277
06,12,0612,764104,377199,386905
06,13,0613,130892,65063,65829
06,14,0614,278609,133265,145344
06,31,0631,765705,378876,386829
06,32,0632,671378,333072,338306
06,33,0633,685105,340056,345049
06,34,0634,663024,326306,336718
06,35,0635,683723,338617,345106
06,36,0636,339310,166873,172437
06,37,0637,96754,47806,48948
06,38,0638,356542,175634,180908
06,39,0639,187433,92092,95341
06,40,0640,310353,153604,156749
07,00,0700,0,0,0
07,11,0711,272812,133947,138865
07,12,0712,99662,50286,49376
07,13,0713,46685,22225,24460
07,14,0714,172557,86670,85887
07,15,0715,217123,105835,111288
07,16,0716,53306,25994,27312
07,17,0717,40176,19694,20482
07,18,0718,50741,24685,26056
07,19,0719,83459,41298,42161
07,20,0720,34001,16840,17161
07,31,0731,373879,185730,188149
07,32,0732,362146,179530,182616
07,33,0733,294776,145249,149527
07,34,0734,209836,104324,105512
07,35,0735,318431,157691,160740
07,36,0736,70105,34821,35284
07,37,0737,325569,160762,164807
07,38,0738,337885,166589,171296
07,39,0739,211525,104352,107173
07,40,0740,198313,98270,100043
07,41,0741,122574,60684,61890
07,43,0743,202830,100629,102201
08,11,0811,916694,451627,465067
08,12,0812,308436,157729,150707
08,15,0815,1392114,691078,701036
08,16,0816,1161041,575783,585258
08,17,0817,881223,439075,442148
08,18,0818,544971,270496,274475
08,19,0819,427286,211269,216017
08,21,0821,411604,202765,208839
08,22,0822,309721,154262,155459
08,25,0825,828530,416200,412330
08,26,0826,1076120,533849,542271
08,27,0827,339542,170626,168916
08,28,0828,132684,66226,66458
08,31,0831,126016,62075,63941
08,35,0835,797738,393339,404399
08,36,0836,1028776,510369,518407
08,37,0837,420547,209868,210679
09,61,0961,737112,363008,374104
09,62,0962,1977301,965736,1011565
09,63,0963,518697,253602,265095
09,64,0964,605076,295592,309484
09,65,0965,41056,20173,20883
09,71,0971,976626,487718,488908
09,72,0972,913629,453398,460231
09,73,0973,768775,382829,385946
09,74,0974,910313,454775,455538
09,75,0975,995133,495419,499714
09,76,0976,763310,381069,382241
09,77,0977,766815,382872,383943
09,78,0978,610596,307871,302725
09,79,0979,684979,341382,343597
09,80,0980,244587,119733,124854
09,81,0981,121019,60383,60636
09,82,0982,100183,48994,51189
09,83,0983,116483,58854,57629
09,84,0984,349685,173797,175888
09,85,0985,97730,49112,48618
09,86,0986,129128,65488,63640
09,87,0987,261721,129514,132207
09,88,0988,136610,66157,70453
09,89,0989,177485,87601,89884
09,90,0990,136134,67518,68616
10,41,1041,327502,161076,166426
10,42,1042,103471,51096,52375
10,43,1043,131172,64441,66731
10,44,1044,193732,94934,98798
10,45,1045,141656,68857,72799
10,46,1046,86458,42597,43861
11,00,1100,3664088,1802038,1862050
12,51,1251,72040,35480,36560
12,52,1252,98693,48345,50348
12,53,1253,57015,27704,29311
12,54,1254,182112,88122,93990
12,60,1260,187343,92800,94543
12,61,1261,173316,85908,87408
12,62,1262,101085,50098,50987
12,63,1263,164693,81382,83311
12,64,1264,197195,97811,99384
12,65,1265,214234,105559,108675
12,66,1266,108396,53199,55197
12,67,1267,179276,87851,91425
12,68,1268,98808,49079,49729
12,69,1269,217954,107877,110077
12,70,1270,76096,37759,38337
12,71,1271,113011,55469,57542
12,72,1272,171554,85609,85945
12,73,1273,118250,57998,60252
13,03,1303,209061,102963,106098
13,04,1304,95609,45919,49690
13,71,1371,258057,126653,131404
13,72,1372,217072,107764,109308
13,73,1373,225383,110540,114843
13,74,1374,157975,78524,79451
13,75,1375,235773,115377,120396
13,76,1376,211844,105797,106047
14,11,1411,244401,120959,123442
14,12,1412,556227,277060,279167
14,13,1413,597493,293522,303971
14,21,1421,331917,162445,169472
14,22,1422,301474,149895,151579
14,23,1423,223905,109204,114701
14,24,1424,312033,152268,159765
14,25,1425,298010,147223,150787
14,26,1426,250558,122809,127749
14,27,1427,240371,118149,122222
14,28,1428,244722,120924,123798
14,29,1429,258386,126643,131743
14,30,1430,197444,97925,99519
15,01,1501,79354,38522,40832
15,02,1502,237865,115241,122624
15,03,1503,235775,116273,119502
15,81,1581,82687,41220,41467
15,82,1582,157217,77058,80159
15,83,1583,170567,85007,85560
15,84,1584,177590,87919,89671
15,85,1585,210975,103480,107495
